"Window change";"Lindo.exe, Lindo";
"Mouse left click";"1526, 666";
"Wait";"910 ms";
"Mouse left click";"1383, 955";
"Wait";"400 ms";
"Mouse left click";"1383, 955";
"Wait";"1600 ms";
"Mouse left double click";"1375, 620";
"Wait";"2000 ms";
"Key press";"BackSpace";
"Wait";"2500 ms";
"Mouse left double click";"1541, 598";
"Wait";"1665 ms";
"Character(s)";"5";
"Mouse left double click";"1541, 598";
"Mouse move";"1541, 598 » 1554, 608";
"Character(s)";"3";
"Mouse move";"1561, 613 » 1567, 617";
"Mouse left double click";"1567, 617";
"Character(s)";"3";
"Mouse left double click";"1567, 617";
"Key press";"BackSpace";
"Mouse move";"1567, 617 » 1548, 604";
"Wait";"10000 ms";
"Key press";"BackSpace";
"Wait";"3000 ms";
"Character(s)";"5";
"Wait";"608 ms";
"Mouse left double click";"1540, 596";
"Mouse move";"1540, 596 » 1566, 620";
"Character(s)";"3";
"Mouse left double click";"1573, 624";
"Character(s)";"3";
"Mouse left double click";"1573, 624";
"Wait";"5200 ms";
"Mouse move";"1573, 624 » 1665, 390";
"Mouse left click";"1670, 379";
"Wait";"200 ms";
